path,f_name,f_type,f_size_Kb,f_mtime,Owner,Modified_file_size
C:\Users\Admin\OneDrive\.849C9593-D756-4E56-8D6E-42412F2A707B,.849C9593-D756-4E56-8D6E-42412F2A707B,,0,2025-09-03 14:18:18,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\desktop.ini,desktop,.ini,0,2023-12-15 20:58:58,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Documents - Shortcut.lnk,Documents - Shortcut,.lnk,1,2024-08-18 16:12:29,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Getting started with OneDrive.pdf,Getting started with OneDrive,.pdf,1028,2023-05-28 18:58:45,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Personal Vault.lnk,Personal Vault,.lnk,1,2025-09-03 14:18:20,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Abhishek_Tadedamath.pdf,Abhishek_Tadedamath,.pdf,134,2025-06-10 10:45:20,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\ak.pdf,ak,.pdf,129,2024-10-24 18:25:13,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Appointment_Letter_Chethana M..pdf,Appointment_Letter_Chethana M.,.pdf,221,2025-06-12 14:58:18,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\C complete notes from kaifi sir.pdf,C complete notes from kaifi sir,.pdf,31519,2024-11-09 19:50:07,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Chethana - Chrome.lnk,Chethana - Chrome,.lnk,2,2023-12-20 07:22:32,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Chethana.M.docx,Chethana.M,.docx,16,2025-05-15 15:52:10,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Chethana.M.pdf,Chethana.M,.pdf,256,2024-06-06 18:23:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\ChethanaM.pdf,ChethanaM,.pdf,140,2025-03-24 00:02:25,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Clear_Skin_4_Weeks_Plan.pdf,Clear_Skin_4_Weeks_Plan,.pdf,3,2025-08-25 11:10:19,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\C_Answers.pdf,C_Answers,.pdf,65,2025-07-24 10:48:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\desktop.ini,desktop,.ini,0,2025-09-04 09:23:06,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Docker Desktop.lnk,Docker Desktop,.lnk,2,2025-07-09 17:06:01,BUILTIN\Administrators,0
C:\Users\Admin\OneDrive\Desktop\Docklight.lnk,Docklight,.lnk,1,2025-07-14 10:18:56,BUILTIN\Administrators,0
C:\Users\Admin\OneDrive\Desktop\Documents.zip,Documents,.zip,5534,2025-05-30 18:40:19,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\File_content_Parser_Poc.pdf,File_content_Parser_Poc,.pdf,134,2025-08-28 15:25:10,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Jenkins_Notes.docx,Jenkins_Notes,.docx,49,2025-08-25 12:44:38,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Jenkins_Notes[1].pdf,Jenkins_Notes[1],.pdf,330,2025-08-25 15:09:10,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Keil uVision5.LNK,Keil uVision5,.LNK,2,2025-06-09 09:37:54,BUILTIN\Administrators,0
C:\Users\Admin\OneDrive\Desktop\Microsoft Edge.lnk,Microsoft Edge,.lnk,2,2025-08-25 09:54:53,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Realterm.lnk,Realterm,.lnk,1,2025-06-19 17:18:52,BUILTIN\Administrators,0
C:\Users\Admin\OneDrive\Desktop\sample_logs.txt,sample_logs,.txt,4,2025-08-18 10:16:59,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\STM32CubeMX.lnk,STM32CubeMX,.lnk,2,2025-07-14 14:15:41,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Tera Term.lnk,Tera Term,.lnk,1,2024-12-30 17:39:44,BUILTIN\Administrators,0
C:\Users\Admin\OneDrive\Desktop\Visual Studio Code.lnk,Visual Studio Code,.lnk,1,2025-08-28 15:18:08,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\C++\C++_Job_Prep_Schedule_Updated.pdf,C++_Job_Prep_Schedule_Updated,.pdf,2,2025-05-12 19:59:40,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\C++\Cpp_Mastery_Schedule (1).pdf,Cpp_Mastery_Schedule (1),.pdf,3,2025-05-05 12:12:46,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Documents\10th_markscard.pdf,10th_markscard,.pdf,92,2024-12-10 22:54:32,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Documents\12_markscard.jpg,12_markscard,.jpg,169,2025-01-12 20:40:21,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Documents\aadharN.pdf,aadharN,.pdf,197,2025-05-15 19:40:23,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Documents\BankStatement.pdf,BankStatement,.pdf,2370,2025-05-30 18:36:38,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Documents\ChethanaM.pdf,ChethanaM,.pdf,140,2025-03-24 00:02:25,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Documents\degree_certificate.pdf,degree_certificate,.pdf,194,2024-12-10 22:51:57,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Documents\engg_markscard.pdf,engg_markscard,.pdf,2265,2024-12-10 22:52:02,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Documents\pancard.pdf,pancard,.pdf,123,2024-12-10 22:55:49,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Documents\Passport_Photograph.jpg,Passport_Photograph,.jpg,38,2024-06-24 17:37:45,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Interview questions\Microcontroller Interview Questions and Answers.pdf,Microcontroller Interview Questions and Answers,.pdf,3933,2025-05-15 20:07:37,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Interview questions\Weekly Interview Questions  (Feb 20 - Mar 3).pdf,Weekly Interview Questions  (Feb 20 - Mar 3),.pdf,166,2025-03-04 13:00:52,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Interview questions\Weekly Interview Questions  (Mar 10 - Mar 16).pdf,Weekly Interview Questions  (Mar 10 - Mar 16),.pdf,193,2025-03-17 19:09:18,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Interview questions\Weekly Interview Questions  (MAR 4 - MAR 9).pdf,Weekly Interview Questions  (MAR 4 - MAR 9),.pdf,195,2025-03-11 14:21:55,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Interview questions\Weekly Interview Questions .pdf,Weekly Interview Questions ,.pdf,191,2025-02-25 12:09:39,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\Car_Black_Box.X.zip,Car_Black_Box.X,.zip,867,2025-02-06 13:47:41,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\Chethana.M_A1.X.zip,Chethana.M_A1.X,.zip,99,2025-01-17 14:15:18,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\Chethana.M_A11.X.zip,Chethana.M_A11.X,.zip,353,2025-02-15 21:44:32,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\Chethana.M_A13.X.zip,Chethana.M_A13.X,.zip,229,2025-01-15 13:58:10,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\Chethana.M_A15.X.zip,Chethana.M_A15.X,.zip,164,2025-01-15 13:43:20,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\Chethana.M_A2.X.zip,Chethana.M_A2.X,.zip,163,2025-01-20 14:40:36,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\Chethana.M_A20.X.zip,Chethana.M_A20.X,.zip,165,2025-01-27 18:46:10,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\Chethana.M_A24.X.zip,Chethana.M_A24.X,.zip,268,2025-02-15 21:48:31,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\Chethana.M_A26.X.zip,Chethana.M_A26.X,.zip,292,2025-01-20 13:55:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\Chethana.M_A29.X.zip,Chethana.M_A29.X,.zip,269,2025-01-20 13:55:40,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\Chethana.M_A3.X.zip,Chethana.M_A3.X,.zip,173,2025-01-15 12:35:37,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\Chethana.M_A4.X.zip,Chethana.M_A4.X,.zip,314,2025-01-27 18:44:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\Chethana.M_A6.X.zip,Chethana.M_A6.X,.zip,270,2025-02-15 21:22:29,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\Chethana.M_A8.X.zip,Chethana.M_A8.X,.zip,303,2025-02-15 21:26:34,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\MC notes.pdf,MC notes,.pdf,22549,2025-02-03 18:02:25,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\1st_classwork.X\main.c,main,.c,0,2025-01-02 11:49:46,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\1st_classwork.X\Makefile,Makefile,,3,2024-12-31 12:16:51,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\1st_classwork.X\build\default\production\main.i,main,.i,439,2024-12-31 14:47:36,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\1st_classwork.X\build\default\production\main.p1,main,.p1,80,2024-12-31 14:47:36,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\1st_classwork.X\build\default\production\main.p1.d,main.p1,.d,0,2024-12-31 14:47:36,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\1st_classwork.X\dist\default\production\1st_classwork.X.production.cmf,1st_classwork.X.production,.cmf,19,2024-12-31 14:47:37,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\1st_classwork.X\dist\default\production\1st_classwork.X.production.elf,1st_classwork.X.production,.elf,6,2024-12-31 14:47:37,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\1st_classwork.X\dist\default\production\1st_classwork.X.production.hex,1st_classwork.X.production,.hex,0,2024-12-31 14:47:37,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\1st_classwork.X\dist\default\production\1st_classwork.X.production.hxl,1st_classwork.X.production,.hxl,1,2024-12-31 14:47:37,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\1st_classwork.X\dist\default\production\1st_classwork.X.production.lst,1st_classwork.X.production,.lst,52,2024-12-31 14:47:37,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\1st_classwork.X\dist\default\production\1st_classwork.X.production.map,1st_classwork.X.production,.map,13,2024-12-31 14:47:37,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\1st_classwork.X\dist\default\production\1st_classwork.X.production.mum,1st_classwork.X.production,.mum,0,2024-12-31 14:47:37,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\1st_classwork.X\dist\default\production\1st_classwork.X.production.o,1st_classwork.X.production,.o,1,2024-12-31 14:47:37,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\1st_classwork.X\dist\default\production\1st_classwork.X.production.rlf,1st_classwork.X.production,.rlf,54,2024-12-31 14:47:37,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\1st_classwork.X\dist\default\production\1st_classwork.X.production.sdb,1st_classwork.X.production,.sdb,1,2024-12-31 14:47:37,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\1st_classwork.X\dist\default\production\1st_classwork.X.production.sym,1st_classwork.X.production,.sym,4,2024-12-31 14:47:37,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\1st_classwork.X\dist\default\production\memoryfile.xml,memoryfile,.xml,0,2024-12-31 14:47:37,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\1st_classwork.X\nbproject\configurations.xml,configurations,.xml,8,2024-12-31 13:01:30,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\1st_classwork.X\nbproject\Makefile-default.mk,Makefile-default,.mk,6,2024-12-31 13:01:32,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\1st_classwork.X\nbproject\Makefile-genesis.properties,Makefile-genesis,.properties,0,2024-12-31 13:01:32,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\1st_classwork.X\nbproject\Makefile-impl.mk,Makefile-impl,.mk,1,2024-12-31 13:01:30,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\1st_classwork.X\nbproject\Makefile-local-default.mk,Makefile-local-default,.mk,2,2024-12-31 13:01:32,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\1st_classwork.X\nbproject\Makefile-variables.mk,Makefile-variables,.mk,0,2024-12-31 13:01:32,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\1st_classwork.X\nbproject\Package-default.bash,Package-default,.bash,1,2024-12-31 13:01:32,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\1st_classwork.X\nbproject\project.xml,project,.xml,1,2025-07-24 11:17:45,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\1st_classwork.X\nbproject\private\configurations.xml,configurations,.xml,0,2024-12-31 13:01:30,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\1st_classwork.X\nbproject\private\private.xml,private,.xml,0,2025-01-02 15:00:07,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment1.X\Makefile,Makefile,,3,2025-01-02 14:39:38,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment1.X\newmain.c,newmain,.c,1,2025-01-17 14:14:48,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment1.X\build\default\production\newmain.i,newmain,.i,440,2025-02-14 12:51:11,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment1.X\build\default\production\newmain.p1,newmain,.p1,82,2025-02-14 12:51:11,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment1.X\build\default\production\newmain.p1.d,newmain.p1,.d,0,2025-02-14 12:51:11,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment1.X\dist\default\production\assignment1.X.production.cmf,assignment1.X.production,.cmf,21,2025-02-14 12:51:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment1.X\dist\default\production\assignment1.X.production.elf,assignment1.X.production,.elf,7,2025-02-14 12:51:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment1.X\dist\default\production\assignment1.X.production.hex,assignment1.X.production,.hex,0,2025-02-14 12:51:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment1.X\dist\default\production\assignment1.X.production.hxl,assignment1.X.production,.hxl,2,2025-02-14 12:51:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment1.X\dist\default\production\assignment1.X.production.lst,assignment1.X.production,.lst,64,2025-02-14 12:51:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment1.X\dist\default\production\assignment1.X.production.map,assignment1.X.production,.map,14,2025-02-14 12:51:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment1.X\dist\default\production\assignment1.X.production.mum,assignment1.X.production,.mum,0,2025-02-14 12:51:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment1.X\dist\default\production\assignment1.X.production.o,assignment1.X.production,.o,5,2025-02-14 12:51:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment1.X\dist\default\production\assignment1.X.production.rlf,assignment1.X.production,.rlf,71,2025-02-14 12:51:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment1.X\dist\default\production\assignment1.X.production.sdb,assignment1.X.production,.sdb,1,2025-02-14 12:51:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment1.X\dist\default\production\assignment1.X.production.sym,assignment1.X.production,.sym,4,2025-02-14 12:51:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment1.X\dist\default\production\memoryfile.xml,memoryfile,.xml,0,2025-02-14 12:51:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment1.X\nbproject\configurations.xml,configurations,.xml,8,2025-01-06 13:33:29,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment1.X\nbproject\Makefile-default.mk,Makefile-default,.mk,6,2025-01-06 13:33:31,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment1.X\nbproject\Makefile-genesis.properties,Makefile-genesis,.properties,0,2025-01-06 13:33:31,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment1.X\nbproject\Makefile-impl.mk,Makefile-impl,.mk,1,2025-01-06 13:33:29,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment1.X\nbproject\Makefile-local-default.mk,Makefile-local-default,.mk,2,2025-01-06 13:33:31,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment1.X\nbproject\Makefile-variables.mk,Makefile-variables,.mk,0,2025-01-06 13:33:31,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment1.X\nbproject\Package-default.bash,Package-default,.bash,1,2025-01-06 13:33:31,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment1.X\nbproject\project.xml,project,.xml,1,2025-01-03 15:01:56,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment1.X\nbproject\private\configurations.xml,configurations,.xml,0,2025-01-06 13:33:29,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment1.X\nbproject\private\private.xml,private,.xml,0,2025-01-07 12:52:50,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\digital_keypad.c,digital_keypad,.c,0,2025-01-24 12:18:56,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\digital_keypad.h,digital_keypad,.h,0,2025-01-24 12:18:20,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\isr.c,isr,.c,0,2025-02-15 21:43:31,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\isr.h,isr,.h,0,2025-01-24 12:53:42,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\Makefile,Makefile,,3,2025-01-24 12:07:31,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\newmain.c,newmain,.c,4,2025-02-15 21:43:31,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\ssd_display.c,ssd_display,.c,0,2025-01-27 14:50:30,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\ssd_display.h,ssd_display,.h,0,2025-01-24 12:15:52,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\timer.c,timer,.c,0,2025-01-29 13:10:45,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\timer0.h,timer0,.h,0,2025-01-24 12:54:32,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\build\default\production\digital_keypad.i,digital_keypad,.i,439,2025-02-15 21:47:18,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\build\default\production\digital_keypad.p1,digital_keypad,.p1,82,2025-02-15 21:47:18,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\build\default\production\digital_keypad.p1.d,digital_keypad.p1,.d,0,2025-02-15 21:47:18,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\build\default\production\isr.i,isr,.i,439,2025-02-15 21:47:18,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\build\default\production\isr.p1,isr,.p1,80,2025-02-15 21:47:18,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\build\default\production\isr.p1.d,isr.p1,.d,0,2025-02-15 21:47:18,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\build\default\production\newmain.i,newmain,.i,442,2025-02-15 21:47:18,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\build\default\production\newmain.p1,newmain,.p1,92,2025-02-15 21:47:18,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\build\default\production\newmain.p1.d,newmain.p1,.d,0,2025-02-15 21:47:18,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\build\default\production\ssd_display.i,ssd_display,.i,439,2025-02-15 21:47:18,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\build\default\production\ssd_display.p1,ssd_display,.p1,82,2025-02-15 21:47:18,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\build\default\production\ssd_display.p1.d,ssd_display.p1,.d,0,2025-02-15 21:47:18,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\build\default\production\timer.i,timer,.i,439,2025-02-15 21:47:18,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\build\default\production\timer.p1,timer,.p1,81,2025-02-15 21:47:18,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\build\default\production\timer.p1.d,timer.p1,.d,0,2025-02-15 21:47:18,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\dist\default\production\assignment11.X.production.cmf,assignment11.X.production,.cmf,41,2025-02-15 21:47:20,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\dist\default\production\assignment11.X.production.elf,assignment11.X.production,.elf,14,2025-02-15 21:47:20,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\dist\default\production\assignment11.X.production.hex,assignment11.X.production,.hex,5,2025-02-15 21:47:20,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\dist\default\production\assignment11.X.production.hxl,assignment11.X.production,.hxl,8,2025-02-15 21:47:20,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\dist\default\production\assignment11.X.production.lst,assignment11.X.production,.lst,253,2025-02-15 21:47:20,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\dist\default\production\assignment11.X.production.map,assignment11.X.production,.map,24,2025-02-15 21:47:20,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\dist\default\production\assignment11.X.production.mum,assignment11.X.production,.mum,0,2025-02-15 21:47:20,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\dist\default\production\assignment11.X.production.o,assignment11.X.production,.o,25,2025-02-15 21:47:19,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\dist\default\production\assignment11.X.production.rlf,assignment11.X.production,.rlf,297,2025-02-15 21:47:19,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\dist\default\production\assignment11.X.production.sdb,assignment11.X.production,.sdb,5,2025-02-15 21:47:19,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\dist\default\production\assignment11.X.production.sym,assignment11.X.production,.sym,9,2025-02-15 21:47:20,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\dist\default\production\memoryfile.xml,memoryfile,.xml,0,2025-02-15 21:47:20,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\nbproject\configurations.xml,configurations,.xml,8,2025-01-30 15:27:49,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\MC\assignment11.X\nbproject\Makefile-default.mk,Makefile-default,.mk,13,2025-01-30 15:27:51,DESKTOP-L6P3D7M\Admin,0
