path,f_name,f_type,f_size_Kb,f_mtime,Owner,Modified_file_size
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\platformdirs\__pycache__\unix.cpython-312.pyc,unix.cpython-312,.pyc,14,2025-06-11 14:37:11,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\platformdirs\__pycache__\version.cpython-312.pyc,version.cpython-312,.pyc,0,2025-06-11 14:37:11,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\platformdirs\__pycache__\windows.cpython-312.pyc,windows.cpython-312,.pyc,13,2025-06-11 14:37:11,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\platformdirs\__pycache__\__init__.cpython-312.pyc,__init__.cpython-312,.pyc,19,2025-06-11 14:37:11,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\platformdirs\__pycache__\__main__.cpython-312.pyc,__main__.cpython-312,.pyc,1,2025-06-11 14:37:11,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\console.py,console,.py,1,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\filter.py,filter,.py,1,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\formatter.py,formatter,.py,4,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py,lexer,.py,34,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\modeline.py,modeline,.py,0,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\plugin.py,plugin,.py,1,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\regexopt.py,regexopt,.py,3,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
